Name,Team,Position,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Sd-Pts,Floor,Tier,Points-VOR,Rank
Buffalo Bills,BUF,DST,49,122.42,7.65,3,0.259,67.029,122.424,3,0.047,105
Indianapolis Colts,IND,DST,49,119.24,7.45,8,0.274,67.029,119.244,8,-3.133,121
Miami Dolphins,MIA,DST,49,103.17,6.45,26,3.824,67.029,103.168,26,-19.209,202
New England Patriots,NEP,DST,49,108.22,6.76,24,3.871,67.029,108.222,24,-14.155,180
New York Jets,NYJ,DST,49,115.79,7.24,16,0.98,67.029,115.786,16,-6.591,142
Cincinnati Bengals,CIN,DST,49,97.62,6.1,29,1.345,67.029,97.624,29,-24.753,216
Cleveland Browns,CLE,DST,49,115.13,7.2,17,0.713,67.029,115.126,17,-7.251,147
Tennessee Titans,TEN,DST,49,105.53,6.6,25,4.144,67.029,105.534,25,-16.843,192
Jacksonville Jaguars,JAC,DST,49,119.27,7.45,7,0.12,67.029,119.268,7,-3.109,120
Pittsburgh Steelers,PIT,DST,49,111.55,6.97,22,2.712,67.029,111.554,22,-10.823,165
Denver Broncos,DEN,DST,49,122.43,7.65,2,0.073,67.029,122.426,2,0.049,104
Kansas City Chiefs,KCC,DST,49,119.05,7.44,9,0.66,67.029,119.052,9,-3.325,124
Oakland Raiders,OAK,DST,49,90.35,5.65,32,0,67.029,90.354,32,-32.023,246
Los Angeles Chargers,LAC,DST,49,116.1,7.26,15,0.644,67.029,116.1,15,-6.277,141
Seattle Seahawks,SEA,DST,49,117.9,7.37,11,1.172,67.029,117.896,11,-4.481,129
Dallas Cowboys,DAL,DST,49,112.87,7.05,20,1.238,67.029,112.874,20,-9.503,161
New York Giants,NYG,DST,49,96.82,6.05,30,3.771,67.029,96.818,30,-25.559,220
Philadelphia Eagles,PHI,DST,49,99.61,6.23,27,1.262,67.029,99.612,27,-22.765,210
Arizona Cardinals,ARI,DST,49,116.25,7.27,13,0.126,67.029,116.248,13,-6.129,139
Washington Redskins,WAS,DST,49,122.28,7.64,4,0.717,67.029,122.282,4,-0.095,108
Chicago Bears,CHI,DST,49,122.05,7.63,5,1.873,67.029,122.048,5,-0.329,110
Detroit Lions,DET,DST,49,111.72,6.98,21,1.21,67.029,111.718,21,-10.659,164
Green Bay Packers,GBP,DST,49,114.49,7.16,18,0.879,67.029,114.486,18,-7.891,151
Minnesota Vikings,MIN,DST,49,118.89,7.43,10,1.34,67.029,118.888,10,-3.489,125
Tampa Bay Buccaneers,TBB,DST,49,95.74,5.98,31,0,67.029,95.74,31,-26.637,228
Atlanta Falcons,ATL,DST,49,99.08,6.19,28,1.855,67.029,99.076,28,-23.301,212
Carolina Panthers,CAR,DST,49,116.14,7.26,14,0.201,67.029,116.144,14,-6.233,140
Los Angeles Rams,LAR,DST,49,121.08,7.57,6,1.826,67.029,121.082,6,-1.295,114
New Orleans Saints,NOS,DST,49,117.2,7.33,12,1.004,67.029,117.2,12,-5.177,133
San Francisco 49ers,SFO,DST,49,109.46,6.84,23,2.584,67.029,109.462,23,-12.915,175
Baltimore Ravens,BAL,DST,49,114.34,7.15,19,2.044,67.029,114.34,19,-8.037,152
Houston Texans,HOU,DST,49,123.96,7.75,1,1.531,67.029,123.956,1,1.579,96
Adam Vinatieri,IND,K,23,122.03,7.63,11,1.653,68.56,122.029,11,-3.144,122
Drew Brees,NOS,QB,18,268.8,16.8,11,2.42,145.815,268.8,11,2.58,91
Tom Brady,NEP,QB,19,266.24,16.64,13,2.33,145.815,266.24,13,0.02,106
Jason Witten,DAL,TE,16,53.5,3.34,29,1,45.497,53.5,100,-29.567,232
Eli Manning,NYG,QB,15,193.76,12.11,29,26.02,145.815,193.76,29,-72.46,363
Larry Fitzgerald,ARI,WR,15,106.7,6.67,42,2,61.582,106.7,42,-5.733,137
Philip Rivers,LAC,QB,15,257.86,16.12,18,5.83,145.815,257.86,18,-8.36,154
Ben Roethlisberger,PIT,QB,15,274.08,17.13,8,1.66,145.815,274.08,8,7.86,81
Ben Watson,NEP,TE,15,52.6,3.29,30,0.25,45.497,52.6,100,-30.467,236
