Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Buffalo Bills,BUF,DST,49,49,94,5.875,17,1,-22.33333333,268
Indianapolis Colts,IND,DST,49,49,104,6.5,9,1,-12.33333333,200
Miami Dolphins,MIA,DST,49,49,96,6,15,1,-20.33333333,252
New England Patriots,NEP,DST,49,49,101,6.3125,11,0.5,-15.33333333,222
New York Jets,NYJ,DST,49,49,87,5.4375,20,1,-29.33333333,314
Cincinnati Bengals,CIN,DST,49,49,80,5,24,0,-36.33333333,353
Cleveland Browns,CLE,DST,49,49,108,6.75,7,3.5,-8.333333333,181
Tennessee Titans,TEN,DST,49,49,92,5.75,19,2.5,-24.33333333,284
Jacksonville Jaguars,JAC,DST,49,49,110,6.875,6,3.5,-6.333333333,168
Pittsburgh Steelers,PIT,DST,49,49,99,6.1875,13,2,-17.33333333,230
Denver Broncos,DEN,DST,49,49,105,6.5625,8,1.5,-11.33333333,192
Kansas City Chiefs,KCC,DST,49,49,101,6.3125,11,1,-15.33333333,222
Oakland Raiders,OAK,DST,49,49,73,4.5625,25,0,-43.33333333,392
Los Angeles Chargers,LAC,DST,49,49,100,6.25,12,0.5,-16.33333333,225
Seattle Seahawks,SEA,DST,49,49,103,6.4375,10,1,-13.33333333,209
Dallas Cowboys,DAL,DST,49,49,93,5.8125,18,0.5,-23.33333333,275
New York Giants,NYG,DST,49,49,81,5.0625,23,4.5,-35.33333333,347
Philadelphia Eagles,PHI,DST,49,49,112,7,5,3,-4.333333333,158
Arizona Cardinals,ARI,DST,49,49,95,5.9375,16,0.5,-21.33333333,259
Washington Redskins,WAS,DST,49,49,83,5.1875,22,2.5,-33.33333333,334
Chicago Bears,CHI,DST,49,49,133,8.3125,1,15.5,16.66666667,76
Detroit Lions,DET,DST,49,49,85,5.3125,21,3,-31.33333333,322
Green Bay Packers,GBP,DST,49,49,93,5.8125,18,1,-23.33333333,275
Minnesota Vikings,MIN,DST,49,49,103,6.4375,10,2,-13.33333333,209
Tampa Bay Buccaneers,TBB,DST,49,49,95,5.9375,16,1.5,-21.33333333,259
Atlanta Falcons,ATL,DST,49,49,92,5.75,19,5,-24.33333333,284
Carolina Panthers,CAR,DST,49,49,98,6.125,14,2.5,-18.33333333,238
Los Angeles Rams,LAR,DST,49,49,117,7.3125,3,4,0.666666667,129
New Orleans Saints,NOS,DST,49,49,100,6.25,12,1.5,-16.33333333,225
San Francisco 49ers,SFO,DST,49,49,87,5.4375,20,3,-29.33333333,314
Baltimore Ravens,BAL,DST,49,49,118,7.375,2,2.5,1.666666667,123
