Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Floor,Points-VOR,Rank
Buffalo Bills,BUF,DST,49,49,91,5.6875,21,3,91,-40.33333333,197
Indianapolis Colts,IND,DST,49,49,86,5.375,23,5,86,-45.33333333,207
Miami Dolphins,MIA,DST,49,49,98,6.125,17,1,98,-33.33333333,183
New England Patriots,NEP,DST,49,49,128,8,5,7,128,-3.333333333,121
New York Jets,NYJ,DST,49,49,108,6.75,10,1,108,-23.33333333,164
Cincinnati Bengals,CIN,DST,49,49,134,8.375,2,4,134,2.666666667,97
Cleveland Browns,CLE,DST,49,49,98,6.125,17,2.5,98,-33.33333333,183
Tennessee Titans,TEN,DST,49,49,82,5.125,24,6.5,82,-49.33333333,213
Jacksonville Jaguars,JAC,DST,49,49,80,5,25,0,80,-51.33333333,217
Pittsburgh Steelers,PIT,DST,49,49,103,6.4375,13,0.5,103,-28.33333333,172
Denver Broncos,DEN,DST,49,49,99,6.1875,16,0.5,99,-32.33333333,180
Kansas City Chiefs,KCC,DST,49,49,99,6.1875,16,1,99,-32.33333333,180
Oakland Raiders,OAK,DST,49,49,71,4.4375,26,0,71,-60.33333333,229
Los Angeles Chargers,LAC,DST,49,49,102,6.375,14,1,102,-29.33333333,175
Seattle Seahawks,SEA,DST,49,49,129,8.0625,4,4.5,129,-2.333333333,116
Dallas Cowboys,DAL,DST,49,49,107,6.6875,11,0.5,107,-24.33333333,165
New York Giants,NYG,DST,49,49,93,5.8125,20,2.5,93,-38.33333333,192
Philadelphia Eagles,PHI,DST,49,49,90,5.625,22,6,90,-41.33333333,201
Arizona Cardinals,ARI,DST,49,49,96,6,18,2,96,-35.33333333,187
Washington Redskins,WAS,DST,49,49,100,6.25,15,1,100,-31.33333333,176
Chicago Bears,CHI,DST,49,49,121,7.5625,6,2,121,-10.33333333,139
Detroit Lions,DET,DST,49,49,102,6.375,14,2.5,102,-29.33333333,175
Green Bay Packers,GBP,DST,49,49,121,7.5625,6,5.5,121,-10.33333333,139
Minnesota Vikings,MIN,DST,49,49,106,6.625,12,3,106,-25.33333333,168
Tampa Bay Buccaneers,TBB,DST,49,49,107,6.6875,11,2.5,107,-24.33333333,165
Atlanta Falcons,ATL,DST,49,49,114,7.125,8,4.5,114,-17.33333333,149
Carolina Panthers,CAR,DST,49,49,103,6.4375,13,1,103,-28.33333333,172
Los Angeles Rams,LAR,DST,49,49,111,6.9375,9,3.5,111,-20.33333333,156
New Orleans Saints,NOS,DST,49,49,95,5.9375,19,3,95,-36.33333333,190
San Francisco 49ers,SFO,DST,49,49,131,8.1875,3,2.5,131,-0.333333333,105
