Name,Team,Position,Age,Exp,nfl_id,esbid,ADP,AAV,Team
Buffalo Bills,BUF,DST,49,49,100003,0,148.83,1.14,BUF
Indianapolis Colts,IND,DST,49,49,100014,0,149.71,1,IND
Miami Dolphins,MIA,DST,49,49,100019,0,150.74,1,MIA
New England Patriots,NEP,DST,49,49,100021,0,130.46,1.12,NE
New York Jets,NYJ,DST,49,49,100024,0,149.8,1.11,NYJ
Cincinnati Bengals,CIN,DST,49,49,100006,0,150.79,0,CIN
Cleveland Browns,CLE,DST,49,49,100007,0,113.19,1.04,CLE
Tennessee Titans,TEN,DST,49,49,100012,0,150.4,1,TEN
Jacksonville Jaguars,JAC,DST,49,49,100015,0,80.87,1.48,JAX
Pittsburgh Steelers,PIT,DST,49,49,100027,0,145.65,1.06,PIT
Denver Broncos,DEN,DST,49,49,100009,0,127.64,1.01,DEN
Kansas City Chiefs,KCC,DST,49,49,100016,0,146.34,1.08,KC
Oakland Raiders,OAK,DST,49,49,100018,0,150.51,1,OAK
Los Angeles Chargers,LAC,DST,49,49,100028,0,74.49,2.03,LAC
Seattle Seahawks,SEA,DST,49,49,100030,0,147.45,1,SEA
Dallas Cowboys,DAL,DST,49,49,100008,0,142.21,1.1,DAL
Philadelphia Eagles,PHI,DST,49,49,100025,0,105.13,1,PHI
Arizona Cardinals,ARI,DST,49,49,100026,0,150.43,1,ARI
Washington Redskins,WAS,DST,49,49,100032,0,150.42,0,WAS
Chicago Bears,CHI,DST,49,49,100005,0,63.61,5.86,CHI
Detroit Lions,DET,DST,49,49,100010,0,150.43,1,DET
Green Bay Packers,GBP,DST,49,49,100011,0,149.32,1,GB
Minnesota Vikings,MIN,DST,49,49,100020,0,86.4,1.21,MIN
Tampa Bay Buccaneers,TBB,DST,49,49,100031,0,150.68,0,TB
Atlanta Falcons,ATL,DST,49,49,100001,0,150.35,1,ATL
Carolina Panthers,CAR,DST,49,49,100004,0,149.3,1,CAR
New Orleans Saints,NOS,DST,49,49,100022,0,132.59,1.06,NO
San Francisco 49ers,SFO,DST,49,49,100029,0,149.56,1.17,SF
Baltimore Ravens,BAL,DST,49,49,100002,0,77.28,1.65,BAL
Houston Texans,HOU,DST,49,49,100013,0,92.58,1.18,HOU
Adam Vinatieri,IND,K,47,23,2503471,VIN196019,102.34,1.02,IND
Roosevelt Nix,PIT,RB,27,5,2550235,NIX511473,151,0,PIT
Drew Brees,NOS,QB,40,18,2504775,BRE229498,63.54,3.04,NO
Sebastian Janikowski,FA,K,41,19,2504257,JAN400354,150.75,0,FA
Tom Brady,NEP,QB,42,19,2504211,BRA371156,121.12,1.74,NE
Josh McCown,FA,QB,40,17,2505076,MCC600777,150.99,0,FA
Matt Bryant,FA,K,44,17,2504797,BRY500226,150.8,0,FA
Jason Witten,DAL,TE,37,16,2505629,WIT559021,147.46,1.22,DAL
Antonio Gates,LAC,TE,39,16,2505299,GAT194627,150.89,1,FA
Eli Manning,NYG,QB,38,15,2505996,MAN473170,150.56,1.14,NYG
Larry Fitzgerald,ARI,WR,36,15,2506106,FIT437493,122.04,1.11,ARI
Philip Rivers,LAC,QB,38,15,2506121,RIV651634,124.42,1.4,LAC
Ben Roethlisberger,PIT,QB,37,15,2506109,ROE750381,123.26,1.33,PIT
Alex Smith,WAS,QB,35,14,2506340,SMI031126,150.94,1,WAS
Aaron Rodgers,GBP,QB,36,14,2506363,ROD339293,52.92,9.28,GB
Mike Nugent,FA,K,37,14,2506386,NUG461506,150.99,0,FA
Frank Gore,BUF,RB,36,14,2506404,GOR411171,150.67,1,BUF
Darren Sproles,FA,RB,36,14,2506467,SPR711296,150.89,1,FA
Ryan Fitzpatrick,MIA,QB,37,14,2506581,FIT792915,150.91,1,MIA
Robbie Gould,SFO,K,37,14,2506264,GOU258729,113.27,1.01,SF
Vernon Davis,WAS,TE,35,13,2495826,DAV785142,150.84,0,WAS
Marcedes Lewis,GBP,TE,35,13,2495888,LEW492053,150.99,0,GB
