Name,Position,Team,Points,Pts-Game,CI-Low,CI-Hi,Ovr,Pos,CA-Low,CA-Hi,PassYds,PassTDs,PassInts,RushAtt,RushYds,RushTDs,WR-Rec,WR-Yds,WR-TDs
Patrick Mahomes,QB,KC,341.43,21.34,310.53,372.33,1,1,376.52,580.73,4672.86,38.74,13.61,49.17,179.79,1.84,0,0,0
Aaron Rodgers,QB,GB,338.84,21.18,306.49,371.19,2,2,382.33,602.81,4473.51,33.05,6.52,46.19,241.61,3,0.18,2.52,0
Andrew Luck,QB,IND,332.69,20.79,302.43,362.95,3,3,412.46,629.86,4601,37.42,13.27,53.9,177.08,1.81,0.28,5.64,0
Deshaun Watson,QB,HOU,326.22,20.39,294.02,358.42,4,4,335.18,502.1,4061.96,28.1,9.41,93.69,505.28,4.11,0.14,-1.03,0
Cam Newton,QB,CAR,323.04,20.19,292.32,353.76,5,5,329.83,520.81,3857.79,26.81,12.21,115.14,554.99,5.71,0.06,1.18,0
Russell Wilson,QB,SEA,320.77,20.05,290.37,351.17,6,6,286.18,446.21,3488.42,31.71,9.41,82.76,487.19,4.37,0.52,-0.23,0
Matt Ryan,QB,ATL,310.3,19.39,283.31,337.29,7,7,400.26,601.82,4626.72,32.07,11.5,44.06,144.96,1.52,0.12,0.6,0.12
Drew Brees,QB,NO,309.33,19.33,279.86,338.8,8,8,379.03,522.78,4437.05,32.34,8.45,30.83,84.76,2.24,0.14,-1.09,0
Baker Mayfield,QB,CLE,307.91,19.24,278.23,337.59,9,9,369.52,577.7,4603.63,33.89,12.01,47.16,165.83,0.78,0,0,0
Jameis Winston,QB,TB,306.24,19.14,277.9,334.58,10,10,375.63,596.51,4490.71,31.53,14.98,49.9,215.54,2.29,0.08,1.66,0
Lamar Jackson,QB,BAL,304.49,19.03,277.3,331.68,11,11,270.42,461.97,3358.71,16.8,13.03,192.1,899.61,7.1,0.1,0.45,0
Jared Goff,QB,LA,303.71,18.98,277.15,330.27,12,12,374.48,572.94,4765.4,32.47,11.34,31.5,63.95,0.51,0.06,-0.36,0
Ben Roethlisberger,QB,PIT,299.8,18.74,269.53,330.07,13,13,403.03,613.84,4813.47,31.35,13.82,16.69,53.69,1.15,0,0,0
Saquon Barkley,RB,NYG,295.18,18.45,256.69,333.67,14,1,0.14,0.14,0.42,0.12,0,272.14,1354.04,10.29,94.86,760.14,3.95
Ezekiel Elliott,RB,DAL,293.64,18.35,258.04,329.24,15,2,0.43,0.55,10.14,0.56,0,326.48,1518.8,11.85,77.94,548.43,2.79
