Yahoo-ID,Player,Team,Position,Proj-Value,AAV,Percent-Drafted,ADP,Avg-Round,Percent-Drafted
30972,Saquon Barkley,NYG,RB,$61 ,72.9,100%,1.3,1.1,100%
29238,Ezekiel Elliott,Dal,RB,$62 ,70.6,100%,2.1,1.1,100%
30180,Alvin Kamara,NO,RB,$60 ,68.6,100%,3.3,1.1,100%
30121,Christian McCaffrey,Car,RB,$58 ,66.6,100%,4.2,1.1,100%
26671,Le'Veon Bell,NYJ,RB,$50 ,60.3,100%,6.3,1.1,100%
28403,Melvin Gordon III,LAC,RB,$56 ,60.6,100%,6.7,1.1,100%
26650,DeAndre Hopkins,Hou,WR,$54 ,57.4,100%,7.7,1.2,100%
28474,David Johnson,Ari,RB,$52 ,55.9,100%,8.7,1.3,100%
27581,Davante Adams,GB,WR,$49 ,52.9,100%,10.8,1.6,100%
30218,James Conner,Pit,RB,$43 ,51.5,100%,11,1.6,100%
24793,Julio Jones,Atl,WR,$48 ,50,100%,12.2,2,100%
27540,Odell Beckham Jr.,Cle,WR,$44 ,48.1,100%,13.8,2.1,100%
29281,Michael Thomas,NO,WR,$45 ,47.9,100%,14.1,2.1,100%
26686,Travis Kelce,KC,TE,$44 ,45.7,100%,16.3,2.2,100%
30161,Joe Mixon,Cin,RB,$41 ,45.5,100%,16.6,2.3,100%
31005,Nick Chubb,Cle,RB,$46 ,45,100%,17.1,2.3,100%
28398,Todd Gurley II,LAR,RB,$35 ,39.7,100%,17.3,2.4,100%
30175,JuJu Smith-Schuster,Pit,WR,$42 ,43.3,100%,17.8,2.3,100%
30123,Patrick Mahomes,KC,QB,$24 ,28.3,100%,18.5,2.6,100%
24171,Antonio Brown,Oak,WR,$38 ,40,100%,19.6,2.6,100%
30154,Dalvin Cook,Min,RB,$40 ,37.8,100%,21.2,2.8,100%
30259,George Kittle,SF,TE,$39 ,39.3,100%,22.1,2.9,100%
26658,Zach Ertz,Phi,TE,$36 ,35.1,100%,23.6,3.2,100%
27535,Mike Evans,TB,WR,$36 ,35.2,100%,23.6,3.2,100%
25802,T.Y. Hilton,Ind,WR,$36 ,31.1,100%,27.2,3.4,100%
26699,Keenan Allen,LAC,WR,$36 ,29.9,100%,28.6,3.5,100%
29279,Derrick Henry,Ten,RB,$36 ,32.5,100%,28.9,3.5,100%
27277,Adam Thielen,Min,WR,$35 ,30,100%,28.9,3.7,100%
28392,Amari Cooper,Dal,WR,$36 ,29.9,100%,29.8,3.7,100%
28115,Damien Williams,KC,RB,$36 ,27.1,100%,31.5,3.9,100%
24791,A.J. Green,Cin,WR,$36 ,29.2,100%,31.9,3.9,100%
30117,Leonard Fournette,Jax,RB,$30 ,27.2,100%,32.1,4,100%
30256,Marlon Mack,Ind,RB,$36 ,28.2,100%,33.7,4.2,100%
