Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Adam Vinatieri,IND,K,47,23,133.1,8.31875,9,0.35,-0.433333333,98
Roosevelt Nix,PIT,RB,27,5,0,0,96,0,-130.8,457
Drew Brees,NOS,QB,40,18,250.31,15.644375,22,10.05,-32.87666667,304
Tom Brady,NEP,QB,42,19,254.51,15.906875,20,3.77,-28.67666667,274
Terrell Suggs,ARI,LB,37,16,55,3.4375,78,3,-71,400
Jason Witten,DAL,TE,37,16,53.9,3.36875,37,6.15,-40.46666667,334
Eli Manning,NYG,QB,38,15,177.56,11.0975,29,25.905,-105.6266667,430
Philip Rivers,LAC,QB,38,15,244.91,15.306875,23,12.205,-38.27666667,324
Ben Roethlisberger,PIT,QB,37,15,269.54,16.84625,16,4.145,-13.64666667,170
Matt Schaub,ATL,QB,38,15,0,0,35,0,-283.1866667,462
Alex Smith,WAS,QB,35,14,0,0,35,0,-283.1866667,462
Aaron Rodgers,GBP,QB,36,14,325.26,20.32875,2,11.71,42.07333333,30
Frank Gore,BUF,RB,36,14,43,2.6875,67,3.1,-87.8,414
Ryan Fitzpatrick,MIA,QB,37,14,134.1,8.38125,31,30.68,-149.0866667,458
Vernon Davis,WAS,TE,35,13,55.2,3.45,36,4.3,-39.16666667,329
Marcedes Lewis,GBP,TE,35,13,0,0,63,0,-94.36666667,423
Stephen Gostkowski,NEP,K,35,13,136.7,8.54375,6,2.95,3.166666667,81
Delanie Walker,TEN,TE,35,13,115,7.1875,8,5.2,20.63333333,47
Antoine Bethea,NYG,S,35,13,116.65,7.290625,8,1.925,2.2,84
Adrian Peterson,WAS,RB,34,12,92.8,5.8,48,6.565,-38,323
Greg Olsen,CAR,TE,34,12,93.4,5.8375,14,1.15,-0.966666667,103
Eric Weddle,LAR,S,34,12,98.45,6.153125,41,1.35,-16,185
Mason Crosby,GBP,K,35,12,129.9,8.11875,12,1.1,-3.633333333,116
Lorenzo Alexander,BUF,LB,36,13,63.25,3.953125,69,1.85,-62.75,381
Calais Campbell,JAC,DE,33,11,87.1,5.44375,6,2.8,4.716666667,79
Joe Flacco,DEN,QB,34,11,169.21,10.575625,30,47.98,-113.9766667,438
Chad Henne,KCC,QB,34,11,0,0,35,0,-283.1866667,462
Steven Hauschka,BUF,K,34,2019,122.7,7.66875,21,3.35,-10.83333333,155
Malcolm Jenkins,PHI,S,32,10,110.55,6.909375,16,1.05,-3.9,117
Matthew Stafford,DET,QB,31,10,226.84,14.1775,26,0.41,-56.34666667,366
LeSean McCoy,BUF,RB,31,10,118.8,7.425,41,5.3,-12,161
Patrick Chung,NEP,S,32,10,89.7,5.60625,58,0.375,-24.75,246
Jared Cook,NOS,TE,32,10,109,6.8125,10,11.6,14.63333333,57
Graham Gano,CAR,K,32,10,132.6,8.2875,11,3.2,-0.933333333,102
Chase Daniel,CHI,QB,33,10,0,0,35,0,-283.1866667,462
Brian Hoyer,NEP,QB,34,10,0,0,35,0,-283.1866667,462
Gerald McCoy,CAR,DT,31,9,51.6,3.225,60,0.425,-30.78333333,291
Carlos Dunlap,CIN,DE,30,9,73.75,4.609375,19,1.375,-8.633333333,142
Brandon Graham,PHI,DE,31,9,65.25,4.078125,27,0.45,-17.13333333,192
